Name,Age_Group,Gender,Geography,Education,Occupation,Caste,Voted_Party
Rajeev Mishra,30-39,Male,Rural,Graduate,Housewife,ST,NDA
Amit Singh,30-39,Male,Rural,Graduate,Labour,General,Others
Vikash Mishra,20-29,Male,Rural,Upto 9th,Farmer,EBC,NDA
Vikash Manjhi,30-39,Male,Rural,Not Gone to School,Labour,General,NDA
Sanjay Yadav,50-59,Male,Rural,Upto 9th,Labour,Muslim,MGB
Rekha Ali,40-49,Female,Rural,Not Gone to School,Farmer,Yadav,MGB
Manju Choudhary,50-59,Female,Rural,12th Pass,Farmer,EBC,NDA
Rahul Ali,30-39,Male,Rural,Graduate,Student,General,MGB
Vikash Mishra,20-29,Male,Rural,Upto 9th,Others,EBC,NDA
Manju Singh,50-59,Female,Rural,12th Pass,Farmer,Yadav,MGB
Deepak Khatoon,30-39,Male,Rural,Post-Graduate,Student,Muslim,MGB
Aisha Yadav,30-39,Female,Rural,Not Gone to School,Farmer,General,NDA
Aisha Khatoon,40-49,Female,Rural,Graduate,Others,OBC,NDA
Sanjay Paswan,40-49,Male,Rural,Professional Education,Housewife,Yadav,MGB
Rajeev Mishra,30-39,Male,Urban,Upto 9th,Pvt. Service,Yadav,MGB
Rekha Mishra,20-29,Female,Rural,10th Pass,Labour,EBC,JSP
Deepak Singh,20-29,Male,Urban,Not Gone to School,Housewife,EBC,NDA
Rahul Sharma,20-29,Male,Rural,Graduate,Housewife,General,MGB
Vikash Yadav,20-29,Male,Rural,10th Pass,Labour,EBC,MGB
Vikash Mishra,60-69,Male,Rural,Not Gone to School,Self Occupation & Small Shop,SC,Others
Deepak Paswan,50-59,Male,Rural,10th Pass,Others,OBC,NDA
Neha Paswan,50-59,Female,Rural,Upto 9th,Labour,SC,MGB
Abdul Khatoon,20-29,Male,Rural,12th Pass,Pvt. Service,Muslim,MGB
Sanjay Yadav,40-49,Male,Rural,Post-Graduate,Unemployed,General,NDA
Fatima Kumar,40-49,Female,Rural,Graduate,Farmer,General,NDA
Pooja Yadav,40-49,Female,Urban,Not Gone to School,Labour,General,Others
Pooja Sharma,60-69,Female,Rural,Upto 9th,Housewife,OBC,NDA
Kavita Mishra,70 & Above,Female,Urban,Upto 9th,Unemployed,EBC,NDA
Mohammad Khatoon,20-29,Male,Rural,Post-Graduate,Housewife,Yadav,MGB
Neha Yadav,60-69,Female,Rural,Upto 9th,Farmer,Muslim,MGB
Aisha Singh,70 & Above,Female,Rural,Upto 9th,Housewife,OBC,NDA
Deepak Paswan,50-59,Male,Rural,10th Pass,Skilled Professional,EBC,MGB
Vikash Manjhi,20-29,Male,Rural,Graduate,Skilled Professional,SC,MGB
Manju Paswan,30-39,Female,Rural,Not Gone to School,Farmer,Muslim,MGB
Rajeev Paswan,40-49,Male,Rural,Not Gone to School,Others,EBC,NDA
Rahul Paswan,40-49,Male,Rural,Upto 9th,Student,General,NDA
Pooja Paswan,50-59,Female,Rural,12th Pass,Skilled Professional,EBC,MGB
Neha Ansari,20-29,Female,Rural,Upto 9th,Labour,SC,NDA
Fatima Ali,30-39,Female,Rural,12th Pass,Others,Muslim,MGB
Pooja Choudhary,20-29,Female,Rural,Not Gone to School,Pvt. Service,EBC,MGB
Neha Singh,70 & Above,Female,Rural,Graduate,Farmer,SC,Others
Priyanka Sharma,70 & Above,Female,Rural,Upto 9th,Housewife,EBC,NDA
Aisha Sharma,30-39,Female,Rural,10th Pass,Pvt. Service,Yadav,MGB
Vikash Choudhary,40-49,Male,Urban,Graduate,Housewife,EBC,MGB
Kavita Singh,40-49,Female,Rural,Not Gone to School,Self Occupation & Small Shop,Muslim,Others
Ranjeet Kumar,40-49,Male,Rural,Upto 9th,Housewife,Yadav,MGB
Rahul Choudhary,30-39,Male,Rural,Upto 9th,Farmer,Muslim,MGB
Anita Yadav,20-29,Female,Rural,Upto 9th,Farmer,Muslim,MGB
Rahul Choudhary,50-59,Male,Rural,Not Gone to School,Housewife,Yadav,MGB
Sunita Ali,40-49,Female,Rural,10th Pass,Skilled Professional,General,Others
Rekha Choudhary,40-49,Female,Rural,Not Gone to School,Labour,General,NDA
Neha Mishra,30-39,Female,Rural,Upto 9th,Pvt. Service,Yadav,MGB
Amit Singh,20-29,Male,Rural,Not Gone to School,Skilled Professional,EBC,NDA
Deepak Choudhary,30-39,Male,Rural,Not Gone to School,Labour,SC,MGB
Deepak Yadav,70 & Above,Male,Rural,Not Gone to School,Skilled Professional,OBC,NDA
Abdul Paswan,40-49,Male,Rural,Upto 9th,Student,EBC,MGB
Rajeev Khatoon,30-39,Male,Rural,Not Gone to School,Labour,General,NDA
Mukesh Choudhary,20-29,Male,Rural,Upto 9th,Skilled Professional,SC,NDA
Manju Kumar,18-19,Female,Urban,Upto 9th,Farmer,Yadav,MGB
Ranjeet Yadav,50-59,Male,Urban,Graduate,Housewife,SC,NDA
Rahul Sharma,20-29,Male,Rural,Graduate,Self Occupation & Small Shop,General,NDA
Deepak Kumar,30-39,Male,Rural,Upto 9th,Labour,General,NDA
Vikash Choudhary,20-29,Male,Rural,Post-Graduate,Farmer,Muslim,MGB
Amit Kumar,20-29,Male,Rural,Not Gone to School,Labour,General,NDA
Anita Sharma,50-59,Female,Rural,10th Pass,Housewife,EBC,NDA
Deepak Manjhi,20-29,Male,Rural,10th Pass,Student,SC,MGB
Neha Yadav,30-39,Female,Rural,Not Gone to School,Labour,SC,NDA
Ranjeet Kumar,40-49,Male,Rural,Not Gone to School,Unemployed,Muslim,MGB
Sanjay Mishra,60-69,Male,Rural,Upto 9th,Labour,EBC,MGB
Abdul Ali,20-29,Male,Rural,Graduate,Farmer,EBC,NDA
Neha Ansari,60-69,Female,Rural,Not Gone to School,Farmer,Muslim,MGB
Kavita Choudhary,40-49,Female,Rural,Post-Graduate,Housewife,SC,NDA
Vikash Singh,30-39,Male,Rural,Graduate,Pvt. Service,SC,NDA
Sanjay Manjhi,40-49,Male,Rural,10th Pass,Farmer,Yadav,MGB
Neha Mishra,50-59,Female,Urban,Graduate,Housewife,Muslim,Others
Pooja Manjhi,30-39,Female,Rural,Professional Education,Labour,EBC,MGB
Rahul Mishra,30-39,Male,Rural,Not Gone to School,Labour,General,JSP
Rajeev Paswan,60-69,Male,Rural,Graduate,Student,Muslim,MGB
Priyanka Mishra,50-59,Female,Urban,10th Pass,Unemployed,OBC,NDA
Rajeev Kumar,40-49,Male,Rural,Upto 9th,Pvt. Service,EBC,JSP
Aisha Singh,50-59,Female,Urban,12th Pass,Pvt. Service,OBC,NDA
Deepak Singh,20-29,Male,Rural,Not Gone to School,Skilled Professional,EBC,NDA
Vikash Manjhi,60-69,Male,Urban,Post-Graduate,Labour,OBC,NDA
Anita Singh,40-49,Female,Rural,Not Gone to School,Farmer,SC,Others
Ranjeet Khatoon,20-29,Male,Rural,Not Gone to School,Pvt. Service,Muslim,MGB
Rajeev Sharma,40-49,Male,Rural,10th Pass,Farmer,EBC,MGB
Anita Khatoon,40-49,Female,Rural,10th Pass,Labour,Yadav,MGB
Priyanka Sharma,30-39,Female,Rural,10th Pass,Skilled Professional,OBC,MGB
Rekha Paswan,30-39,Female,Rural,10th Pass,Unemployed,General,NDA
Amit Sharma,20-29,Male,Rural,Not Gone to School,Housewife,EBC,NDA
Rekha Yadav,30-39,Female,Rural,Graduate,Housewife,Yadav,MGB
Anita Paswan,50-59,Female,Rural,10th Pass,Farmer,Muslim,MGB
Ranjeet Ali,20-29,Male,Rural,Graduate,Others,EBC,NDA
Vikash Ali,30-39,Male,Rural,Not Gone to School,Others,Yadav,MGB
Rekha Choudhary,30-39,Female,Rural,Not Gone to School,Pvt. Service,SC,NDA
Mukesh Sharma,30-39,Male,Rural,Not Gone to School,Farmer,Yadav,MGB
Priyanka Singh,50-59,Female,Rural,Graduate,Farmer,Yadav,MGB
Mohammad Ali,50-59,Male,Rural,Professional Education,Farmer,Muslim,MGB
Amit Kumar,20-29,Male,Rural,Not Gone to School,Self Occupation & Small Shop,EBC,NDA
Amit Choudhary,70 & Above,Male,Rural,Post-Graduate,Labour,SC,NDA
Amit Ansari,50-59,Male,Rural,Not Gone to School,Self Occupation & Small Shop,SC,Others
Abdul Paswan,30-39,Male,Rural,10th Pass,Unemployed,EBC,NDA
Mukesh Manjhi,60-69,Male,Rural,Upto 9th,Labour,Muslim,MGB
Amit Manjhi,30-39,Male,Rural,Not Gone to School,Student,Muslim,MGB
Fatima Ali,50-59,Female,Rural,12th Pass,Housewife,EBC,NDA
Rahul Ali,70 & Above,Male,Rural,Graduate,Housewife,EBC,NDA
Kavita Paswan,30-39,Female,Rural,12th Pass,Housewife,SC,MGB
Kavita Khatoon,60-69,Female,Rural,10th Pass,Student,SC,NDA
Rahul Ali,20-29,Male,Rural,Upto 9th,Pvt. Service,EBC,NDA
Priyanka Kumar,30-39,Female,Rural,Not Gone to School,Housewife,General,Others
Aisha Ali,50-59,Female,Rural,10th Pass,Skilled Professional,General,NDA
Neha Choudhary,50-59,Female,Rural,Graduate,Farmer,Yadav,NDA
Priyanka Sharma,20-29,Female,Rural,12th Pass,Student,Yadav,MGB
Anita Ali,20-29,Female,Rural,Graduate,Housewife,General,NDA
Sunita Ansari,40-49,Female,Rural,12th Pass,Skilled Professional,OBC,MGB
Aisha Manjhi,30-39,Female,Rural,Not Gone to School,Unemployed,SC,Others
Pooja Sharma,20-29,Female,Rural,Not Gone to School,Skilled Professional,OBC,Others
Priyanka Ansari,60-69,Female,Rural,12th Pass,Housewife,Muslim,MGB
Priyanka Sharma,20-29,Female,Rural,Graduate,Labour,EBC,NDA
Priyanka Singh,60-69,Female,Rural,Not Gone to School,Housewife,General,MGB
Abdul Manjhi,60-69,Male,Rural,10th Pass,Housewife,OBC,MGB
Rajeev Paswan,50-59,Male,Rural,Not Gone to School,Labour,General,NDA
Sanjay Paswan,50-59,Male,Rural,10th Pass,Farmer,SC,NDA
Deepak Kumar,60-69,Male,Rural,Not Gone to School,Labour,EBC,NDA
Sanjay Ali,40-49,Male,Rural,12th Pass,Housewife,Yadav,MGB
Pooja Paswan,20-29,Female,Rural,Not Gone to School,Pvt. Service,General,MGB
Aisha Choudhary,20-29,Female,Rural,12th Pass,Unemployed,General,NDA
Abdul Mishra,50-59,Male,Rural,Not Gone to School,Farmer,EBC,NDA
Sunita Singh,30-39,Female,Rural,12th Pass,Pvt. Service,Muslim,Others
Priyanka Choudhary,20-29,Female,Rural,Graduate,Unemployed,Yadav,MGB
Neha Paswan,20-29,Female,Rural,12th Pass,Farmer,SC,MGB
Kavita Yadav,40-49,Female,Rural,Upto 9th,Housewife,EBC,NDA
Sanjay Sharma,30-39,Male,Rural,Not Gone to School,Pvt. Service,Yadav,MGB
Mohammad Manjhi,60-69,Male,Urban,Not Gone to School,Pvt. Service,OBC,NDA
Manju Ansari,60-69,Female,Rural,Post-Graduate,Housewife,Yadav,MGB
Rajeev Ali,70 & Above,Male,Rural,Professional Education,Others,OBC,NDA
Mohammad Kumar,20-29,Male,Rural,10th Pass,Farmer,Muslim,MGB
Deepak Choudhary,40-49,Male,Rural,Upto 9th,Labour,EBC,MGB
Ranjeet Paswan,50-59,Male,Rural,Not Gone to School,Unemployed,Muslim,MGB
Manju Ali,50-59,Female,Rural,Not Gone to School,Pvt. Service,Muslim,MGB
Manju Khatoon,50-59,Female,Rural,Graduate,Others,EBC,NDA
Pooja Yadav,50-59,Female,Rural,Graduate,Others,EBC,Others
Mohammad Khatoon,20-29,Male,Rural,Upto 9th,Pvt. Service,SC,MGB
Ranjeet Ali,20-29,Male,Rural,Upto 9th,Farmer,Muslim,MGB
Sunita Kumar,20-29,Female,Rural,Upto 9th,Others,EBC,MGB
Pooja Khatoon,20-29,Female,Urban,Professional Education,Labour,EBC,MGB
Fatima Mishra,60-69,Female,Rural,12th Pass,Housewife,General,NDA
Rajeev Sharma,60-69,Male,Rural,Not Gone to School,Pvt. Service,EBC,MGB
Vikash Ali,50-59,Male,Rural,12th Pass,Unemployed,SC,NDA
Aisha Sharma,20-29,Female,Rural,Not Gone to School,Housewife,SC,MGB
Vikash Yadav,50-59,Male,Rural,Not Gone to School,Pvt. Service,General,JSP
Mukesh Sharma,40-49,Male,Rural,10th Pass,Farmer,SC,JSP
Mohammad Yadav,60-69,Male,Rural,Graduate,Pvt. Service,EBC,Others
Pooja Choudhary,30-39,Female,Rural,Graduate,Skilled Professional,EBC,JSP
Pooja Ansari,50-59,Female,Rural,Graduate,Farmer,Yadav,MGB
Pooja Ansari,40-49,Female,Rural,Not Gone to School,Labour,General,NDA
Rekha Yadav,60-69,Female,Rural,12th Pass,Unemployed,General,NDA
Kavita Singh,50-59,Female,Rural,Not Gone to School,Labour,SC,NDA
Deepak Mishra,20-29,Male,Urban,12th Pass,Student,OBC,NDA
Priyanka Khatoon,30-39,Female,Rural,10th Pass,Student,EBC,NDA
Mohammad Choudhary,50-59,Male,Rural,Graduate,Farmer,EBC,NDA
Aisha Manjhi,40-49,Female,Rural,10th Pass,Labour,OBC,NDA
Rajeev Singh,30-39,Male,Rural,10th Pass,Self Occupation & Small Shop,SC,MGB
Fatima Sharma,30-39,Female,Rural,Graduate,Self Occupation & Small Shop,SC,NDA
Vikash Kumar,30-39,Male,Rural,12th Pass,Pvt. Service,Muslim,NDA
Rekha Singh,20-29,Female,Rural,Upto 9th,Labour,Muslim,MGB
Ranjeet Sharma,70 & Above,Male,Rural,12th Pass,Housewife,EBC,MGB
Pooja Sharma,40-49,Female,Rural,Graduate,Farmer,General,NDA
Abdul Sharma,30-39,Male,Rural,Graduate,Farmer,OBC,Others
Rahul Manjhi,20-29,Male,Rural,12th Pass,Pvt. Service,EBC,NDA
Aisha Khatoon,40-49,Female,Urban,Upto 9th,Housewife,Muslim,MGB
Rajeev Manjhi,30-39,Male,Rural,Not Gone to School,Farmer,SC,JSP
Aisha Paswan,20-29,Female,Rural,Upto 9th,Labour,EBC,NDA
Abdul Choudhary,40-49,Male,Rural,Not Gone to School,Farmer,OBC,NDA
Rajeev Kumar,20-29,Male,Rural,Graduate,Labour,SC,JSP
Vikash Mishra,30-39,Male,Rural,Not Gone to School,Farmer,SC,NDA
Priyanka Ali,20-29,Female,Rural,Not Gone to School,Farmer,SC,NDA
Ranjeet Singh,20-29,Male,Urban,Upto 9th,Housewife,EBC,MGB
Mukesh Sharma,60-69,Male,Rural,10th Pass,Skilled Professional,Muslim,MGB
Sunita Yadav,30-39,Female,Rural,Not Gone to School,Pvt. Service,OBC,MGB
Neha Manjhi,30-39,Female,Rural,Not Gone to School,Farmer,EBC,Others
Anita Ansari,50-59,Female,Rural,Upto 9th,Farmer,OBC,Others
Sunita Kumar,40-49,Female,Rural,Not Gone to School,Farmer,General,NDA
Anita Ali,20-29,Female,Urban,Professional Education,Pvt. Service,Yadav,MGB
Aisha Paswan,40-49,Female,Rural,Not Gone to School,Labour,General,NDA
Anita Khatoon,30-39,Female,Rural,Not Gone to School,Unemployed,General,NDA
Ranjeet Ansari,50-59,Male,Rural,Upto 9th,Farmer,Muslim,MGB
Sunita Ansari,40-49,Female,Urban,10th Pass,Others,SC,NDA
Manju Sharma,30-39,Female,Rural,Graduate,Labour,OBC,NDA
Vikash Ansari,18-19,Male,Rural,Not Gone to School,Labour,General,NDA
Abdul Singh,60-69,Male,Rural,12th Pass,Housewife,Muslim,MGB
Anita Mishra,20-29,Female,Rural,10th Pass,Pvt. Service,EBC,NDA
Amit Paswan,30-39,Male,Rural,Upto 9th,Student,OBC,MGB
Rekha Ansari,20-29,Female,Rural,Graduate,Self Occupation & Small Shop,Muslim,Others
Amit Khatoon,30-39,Male,Rural,10th Pass,Student,SC,Others
Deepak Kumar,20-29,Male,Rural,Not Gone to School,Pvt. Service,EBC,JSP
Rekha Sharma,40-49,Female,Rural,12th Pass,Self Occupation & Small Shop,SC,MGB
Anita Singh,50-59,Female,Rural,Upto 9th,Housewife,Muslim,MGB
Mukesh Sharma,30-39,Male,Rural,Not Gone to School,Student,Yadav,MGB
Kavita Khatoon,30-39,Female,Rural,Not Gone to School,Farmer,OBC,NDA
Kavita Ali,20-29,Female,Urban,12th Pass,Housewife,EBC,NDA
Fatima Sharma,40-49,Female,Rural,Professional Education,Labour,Muslim,MGB
Abdul Kumar,20-29,Male,Rural,Graduate,Housewife,General,NDA
Rekha Ansari,20-29,Female,Rural,10th Pass,Labour,Muslim,MGB
Aisha Khatoon,30-39,Female,Rural,Professional Education,Labour,General,NDA
Rahul Choudhary,60-69,Male,Rural,Graduate,Unemployed,Muslim,MGB
Abdul Choudhary,40-49,Male,Urban,Not Gone to School,Housewife,General,NDA
Pooja Mishra,40-49,Female,Rural,Upto 9th,Labour,OBC,NDA
Sunita Yadav,60-69,Female,Urban,10th Pass,Labour,General,MGB
Fatima Manjhi,50-59,Female,Rural,12th Pass,Skilled Professional,OBC,Others
Deepak Mishra,60-69,Male,Rural,Upto 9th,Labour,SC,MGB
Kavita Kumar,40-49,Female,Rural,Not Gone to School,Others,SC,MGB
Deepak Ansari,40-49,Male,Rural,Upto 9th,Housewife,Muslim,MGB
Anita Paswan,30-39,Female,Rural,Not Gone to School,Farmer,General,Others
Amit Manjhi,20-29,Male,Urban,10th Pass,Pvt. Service,SC,Others
Vikash Ali,70 & Above,Male,Rural,10th Pass,Farmer,EBC,NDA
Deepak Sharma,30-39,Male,Rural,12th Pass,Housewife,OBC,NDA
Deepak Mishra,20-29,Male,Rural,Not Gone to School,Farmer,General,NDA
Priyanka Yadav,70 & Above,Female,Rural,Not Gone to School,Skilled Professional,OBC,NDA
Amit Paswan,30-39,Male,Rural,Not Gone to School,Skilled Professional,General,NDA
Fatima Choudhary,50-59,Female,Rural,Upto 9th,Others,General,NDA
Pooja Singh,30-39,Female,Rural,Graduate,Labour,Muslim,MGB
Abdul Ali,30-39,Male,Rural,Upto 9th,Pvt. Service,OBC,NDA
Abdul Manjhi,40-49,Male,Rural,Not Gone to School,Unemployed,Muslim,MGB
Kavita Singh,70 & Above,Female,Urban,Graduate,Unemployed,EBC,Others
Rekha Choudhary,20-29,Female,Rural,Upto 9th,Farmer,Muslim,MGB
Kavita Singh,40-49,Female,Rural,Upto 9th,Student,Yadav,MGB
Fatima Sharma,20-29,Female,Rural,Not Gone to School,Farmer,EBC,NDA
Fatima Paswan,30-39,Female,Rural,Graduate,Housewife,EBC,MGB
Rekha Sharma,30-39,Female,Rural,Graduate,Student,General,NDA
Pooja Mishra,20-29,Female,Rural,Upto 9th,Student,General,NDA
Anita Ansari,60-69,Female,Rural,12th Pass,Skilled Professional,General,NDA
Deepak Sharma,40-49,Male,Rural,Not Gone to School,Labour,Muslim,MGB
Sunita Khatoon,40-49,Female,Rural,12th Pass,Labour,EBC,NDA
Manju Singh,40-49,Female,Rural,Not Gone to School,Farmer,General,JSP
Rajeev Paswan,40-49,Male,Rural,10th Pass,Housewife,General,NDA
Priyanka Kumar,20-29,Female,Rural,Upto 9th,Farmer,Yadav,MGB
Deepak Paswan,70 & Above,Male,Rural,12th Pass,Farmer,OBC,NDA
Amit Mishra,20-29,Male,Rural,Upto 9th,Labour,EBC,MGB
Aisha Paswan,20-29,Female,Rural,Not Gone to School,Unemployed,Muslim,MGB
Rekha Manjhi,20-29,Female,Rural,Not Gone to School,Labour,EBC,NDA
Aisha Choudhary,30-39,Female,Urban,Upto 9th,Housewife,Muslim,NDA
Aisha Khatoon,20-29,Female,Rural,Graduate,Housewife,Yadav,MGB
Fatima Paswan,50-59,Female,Rural,Graduate,Others,General,NDA
Kavita Paswan,30-39,Female,Rural,Upto 9th,Housewife,EBC,Others
Sunita Manjhi,30-39,Female,Rural,Post-Graduate,Pvt. Service,Muslim,Others
Mukesh Khatoon,40-49,Male,Rural,10th Pass,Farmer,Yadav,MGB
Sanjay Mishra,40-49,Male,Rural,Upto 9th,Student,OBC,NDA
Pooja Khatoon,30-39,Female,Rural,Post-Graduate,Farmer,OBC,NDA
Mohammad Ali,20-29,Male,Rural,Not Gone to School,Labour,General,JSP
Priyanka Ali,20-29,Female,Urban,Upto 9th,Housewife,Muslim,MGB
Sunita Paswan,30-39,Female,Rural,12th Pass,Housewife,SC,NDA
Pooja Singh,20-29,Female,Urban,Not Gone to School,Labour,Muslim,MGB
Abdul Singh,30-39,Male,Urban,Upto 9th,Farmer,SC,NDA
Sanjay Mishra,40-49,Male,Rural,Not Gone to School,Pvt. Service,SC,NDA
Kavita Paswan,50-59,Female,Rural,Professional Education,Farmer,Muslim,MGB
Vikash Kumar,40-49,Male,Rural,10th Pass,Housewife,OBC,MGB
Kavita Ali,40-49,Female,Rural,Upto 9th,Student,OBC,NDA
Fatima Paswan,40-49,Female,Rural,10th Pass,Labour,Muslim,MGB
Manju Paswan,30-39,Female,Rural,12th Pass,Housewife,General,NDA
Neha Ansari,18-19,Female,Rural,10th Pass,Pvt. Service,SC,MGB
Ranjeet Yadav,70 & Above,Male,Urban,Upto 9th,Labour,Yadav,MGB
Amit Mishra,30-39,Male,Rural,Post-Graduate,Farmer,General,NDA
Anita Ansari,40-49,Female,Rural,Not Gone to School,Housewife,SC,Others
Sunita Yadav,20-29,Female,Rural,Upto 9th,Farmer,General,NDA
Rahul Kumar,20-29,Male,Rural,Upto 9th,Housewife,Muslim,MGB
Mukesh Ansari,70 & Above,Male,Rural,10th Pass,Housewife,EBC,NDA
Anita Ansari,30-39,Female,Rural,Graduate,Farmer,EBC,JSP
Ranjeet Ali,70 & Above,Male,Rural,12th Pass,Student,Yadav,MGB
Neha Kumar,18-19,Female,Rural,Professional Education,Self Occupation & Small Shop,General,NDA
Abdul Khatoon,20-29,Male,Urban,Not Gone to School,Labour,Yadav,MGB
Sunita Paswan,50-59,Female,Rural,Not Gone to School,Unemployed,Yadav,MGB
Rekha Choudhary,30-39,Female,Rural,Graduate,Skilled Professional,Yadav,Others
Amit Ali,70 & Above,Male,Rural,Upto 9th,Skilled Professional,Yadav,MGB
Anita Khatoon,70 & Above,Female,Rural,Not Gone to School,Pvt. Service,Yadav,NDA
Deepak Mishra,20-29,Male,Rural,Upto 9th,Labour,Yadav,Others
Vikash Yadav,40-49,Male,Rural,10th Pass,Labour,SC,NDA
Fatima Ali,30-39,Female,Rural,10th Pass,Pvt. Service,EBC,MGB
Pooja Ali,20-29,Female,Rural,Graduate,Labour,General,NDA
Neha Yadav,30-39,Female,Rural,Not Gone to School,Skilled Professional,EBC,NDA
Pooja Mishra,40-49,Female,Rural,Not Gone to School,Others,SC,NDA
Rajeev Ansari,40-49,Male,Rural,Not Gone to School,Farmer,SC,Others
Vikash Kumar,30-39,Male,Rural,Not Gone to School,Unemployed,General,NDA
Vikash Khatoon,40-49,Male,Rural,Not Gone to School,Farmer,SC,NDA
Rekha Ansari,60-69,Female,Rural,Graduate,Housewife,General,MGB
Rekha Paswan,40-49,Female,Rural,Not Gone to School,Farmer,Yadav,NDA
Priyanka Yadav,20-29,Female,Rural,Not Gone to School,Skilled Professional,EBC,MGB
Mohammad Manjhi,50-59,Male,Rural,Not Gone to School,Farmer,OBC,NDA
Mukesh Ansari,60-69,Male,Rural,Post-Graduate,Student,Muslim,MGB
Mukesh Paswan,50-59,Male,Rural,Post-Graduate,Others,Muslim,MGB
Sunita Mishra,70 & Above,Female,Rural,Upto 9th,Farmer,EBC,NDA
Amit Ali,60-69,Male,Rural,Not Gone to School,Farmer,EBC,NDA
Ranjeet Ali,20-29,Male,Rural,Graduate,Housewife,Muslim,NDA
Manju Manjhi,20-29,Female,Rural,Professional Education,Labour,Yadav,MGB
Pooja Yadav,30-39,Female,Rural,Upto 9th,Unemployed,EBC,NDA
Kavita Mishra,30-39,Female,Rural,10th Pass,Labour,Yadav,MGB
Mukesh Sharma,40-49,Male,Rural,Graduate,Labour,SC,NDA
Rajeev Yadav,30-39,Male,Rural,Post-Graduate,Others,Yadav,MGB
Mohammad Choudhary,20-29,Male,Urban,Upto 9th,Unemployed,General,NDA
Rajeev Ali,20-29,Male,Rural,12th Pass,Student,SC,MGB
Rekha Singh,30-39,Female,Rural,Not Gone to School,Housewife,Yadav,MGB
Aisha Paswan,40-49,Female,Rural,Graduate,Housewife,EBC,NDA
Abdul Choudhary,20-29,Male,Rural,Professional Education,Farmer,SC,NDA
Rajeev Singh,30-39,Male,Rural,Not Gone to School,Self Occupation & Small Shop,SC,MGB
Amit Ansari,60-69,Male,Rural,Not Gone to School,Housewife,EBC,NDA
Neha Ansari,40-49,Female,Rural,12th Pass,Farmer,General,Others
Rekha Paswan,40-49,Female,Rural,10th Pass,Unemployed,Yadav,MGB
Mukesh Mishra,40-49,Male,Urban,Not Gone to School,Farmer,Yadav,MGB
Abdul Ali,70 & Above,Male,Rural,Not Gone to School,Labour,Muslim,MGB
Mohammad Kumar,40-49,Male,Rural,Not Gone to School,Unemployed,EBC,MGB
Abdul Kumar,40-49,Male,Rural,Not Gone to School,Unemployed,EBC,NDA
Abdul Paswan,20-29,Male,Urban,Upto 9th,Labour,EBC,NDA
Anita Paswan,30-39,Female,Rural,Not Gone to School,Housewife,OBC,NDA
Vikash Mishra,20-29,Male,Rural,Graduate,Farmer,General,NDA
Anita Kumar,40-49,Female,Urban,Upto 9th,Housewife,SC,MGB
Amit Yadav,70 & Above,Male,Rural,Upto 9th,Others,SC,NDA
Manju Singh,70 & Above,Female,Rural,Graduate,Labour,SC,NDA
Aisha Yadav,30-39,Female,Rural,Upto 9th,Housewife,Muslim,MGB
Fatima Yadav,20-29,Female,Rural,Upto 9th,Govt. Service,General,MGB
Mukesh Kumar,30-39,Male,Rural,Post-Graduate,Pvt. Service,EBC,MGB
Vikash Choudhary,30-39,Male,Urban,Not Gone to School,Student,SC,NDA
Rahul Sharma,30-39,Male,Urban,10th Pass,Pvt. Service,EBC,MGB
Sanjay Khatoon,60-69,Male,Rural,10th Pass,Others,General,Others
Rajeev Mishra,18-19,Male,Urban,12th Pass,Others,OBC,NDA
Amit Singh,50-59,Male,Rural,Upto 9th,Housewife,Muslim,MGB
Mukesh Sharma,50-59,Male,Urban,10th Pass,Self Occupation & Small Shop,OBC,MGB
Pooja Manjhi,40-49,Female,Rural,Graduate,Farmer,Muslim,MGB
Kavita Singh,50-59,Female,Rural,Not Gone to School,Housewife,Muslim,MGB
Deepak Kumar,20-29,Male,Rural,12th Pass,Farmer,General,NDA
Vikash Sharma,30-39,Male,Rural,Not Gone to School,Labour,SC,Others
Abdul Paswan,50-59,Male,Rural,Not Gone to School,Self Occupation & Small Shop,General,NDA
Anita Ali,40-49,Female,Rural,Upto 9th,Housewife,General,NDA
Vikash Yadav,20-29,Male,Urban,Not Gone to School,Housewife,Muslim,Others
Rahul Kumar,30-39,Male,Rural,12th Pass,Unemployed,EBC,NDA
Rekha Paswan,20-29,Female,Rural,Professional Education,Labour,EBC,NDA
Fatima Manjhi,30-39,Female,Rural,Not Gone to School,Self Occupation & Small Shop,Muslim,MGB
Rahul Paswan,50-59,Male,Rural,Upto 9th,Housewife,EBC,NDA
Deepak Kumar,40-49,Male,Rural,Upto 9th,Labour,Muslim,MGB
Kavita Singh,50-59,Female,Rural,Not Gone to School,Labour,SC,NDA
Abdul Khatoon,60-69,Male,Rural,Upto 9th,Unemployed,OBC,MGB
Rahul Singh,30-39,Male,Rural,Professional Education,Housewife,Muslim,MGB
Ranjeet Sharma,60-69,Male,Rural,Upto 9th,Others,EBC,NDA
Manju Singh,30-39,Female,Rural,Graduate,Pvt. Service,SC,Others
Abdul Kumar,40-49,Male,Rural,Not Gone to School,Farmer,Yadav,MGB
Ranjeet Ansari,70 & Above,Male,Rural,Not Gone to School,Farmer,EBC,MGB
Rekha Ali,50-59,Female,Urban,Graduate,Pvt. Service,EBC,JSP
Aisha Ansari,40-49,Female,Rural,12th Pass,Unemployed,EBC,MGB
